Brand,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
TESLA ,4.6,233,450,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,55480
VOLKSWAGEN ,10.0,160,270,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000
POLESTAR ,4.7,210,400,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,56440
BMW ,6.8,180,360,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,68040
HONDA ,9.5,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997
LUCID ,2.8,250,610,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,105000
VOLKSWAGEN ,9.6,150,190,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900
PEUGEOT ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682
TESLA ,5.6,225,310,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,46380
AUDI ,6.3,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,55000
MERCEDES ,5.1,180,370,216,440,Yes,AWD,Type 2 CCS,SUV,D,5,69484
NISSAN ,7.9,144,220,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234
HYUNDAI ,7.9,167,400,160,380,Yes,FWD,Type 2 CCS,SUV,B,5,40795
BMW ,4.0,200,450,178,650,Yes,RWD,Type 2 CCS,Sedan,D,5,65000
HYUNDAI ,9.7,165,250,153,210,Yes,FWD,Type 2 CCS,Liftback,C,5,34459
VOLKSWAGEN ,7.9,160,440,175,590,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936
PORSCHE ,2.8,260,375,223,780,Yes,AWD,Type 2 CCS,Sedan,F,4,180781
VOLKSWAGEN ,11.9,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421
MG ,8.2,140,220,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,30000
MINI ,7.3,150,185,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681
OPEL ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146
TESLA ,5.1,217,425,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,58620
SKODA ,10.0,160,290,179,230,Yes,RWD,Type 2 CCS,SUV,C,5,35000
AUDI ,3.5,240,425,197,850,Yes,AWD,Type 2 CCS,Sedan,F,4,125000
TESLA ,3.4,261,435,167,910,Yes,AWD,Type 2 CCS,Sedan,D,5,61480
VOLKSWAGEN ,7.5,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,45000
VOLKSWAGEN ,9.0,160,350,166,490,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000
VOLVO ,4.9,180,375,200,470,Yes,AWD,Type 2 CCS,SUV,C,5,60437
BMW ,7.3,150,235,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017
PEUGEOT ,8.5,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,34361
AUDI ,6.8,190,280,231,450,Yes,AWD,Type 2 CCS,SUV,E,5,67358
KIA ,7.8,167,370,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,38105
RENAULT ,11.4,135,315,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184
TESLA ,3.0,210,750,267,710,Yes,AWD,Type 2 CCS,Pickup,N,6,75000
MAZDA ,9.0,150,180,178,240,Yes,FWD,Type 2 CCS,SUV,C,5,32646
NISSAN ,7.3,157,325,172,390,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237
LEXUS ,7.5,160,270,193,190,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000
CUPRA ,6.5,160,425,181,570,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000
RENAULT ,9.5,140,310,168,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133
MERCEDES ,5.0,200,350,171,440,Yes,AWD,Type 2 CCS,SUV,C,5,45000
TESLA ,3.8,250,515,184,560,Yes,AWD,Type 2,Liftback,F,5,79990
HYUNDAI ,9.9,155,255,154,210,Yes,FWD,Type 2 CCS,SUV,B,5,33971
AUDI ,5.7,200,380,228,610,Yes,AWD,Type 2 CCS,SUV,E,5,81639
SKODA ,12.3,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534
SEAT ,12.3,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129
KIA ,7.9,167,365,175,340,Yes,FWD,Type 2 CCS,SUV,B,5,36837
OPEL ,7.3,150,335,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,41906
PORSCHE ,4.0,250,365,195,730,Yes,AWD,Type 2 CCS,Sedan,F,4,102945
LIGHTYEAR ,10.0,150,575,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000
AIWAYS ,9.0,150,335,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057
AUDI ,5.7,200,365,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445
TESLA ,2.1,410,970,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000
OPEL ,8.5,150,255,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000
SKODA ,8.8,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000
TESLA ,4.6,250,450,211,490,Yes,AWD,Type 2,SUV,F,7,85990
HONDA ,8.3,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921
DS ,8.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422
RENAULT ,12.6,135,130,164,-,No,RWD,Type 2,Hatchback,A,4,24790
CITROEN ,9.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000
TESLA ,2.5,261,505,188,550,Yes,AWD,Type 2,Liftback,F,5,96990
RENAULT ,11.4,135,255,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234
TESLA ,3.7,241,410,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620
NISSAN ,7.6,160,440,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000
JAGUAR ,4.8,200,365,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351
FORD ,7.0,180,450,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475
PORSCHE ,4.0,250,425,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302
NISSAN ,14.0,123,190,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246
TESLA ,5.0,190,460,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000
RENAULT ,22.4,130,160,194,-,No,FWD,Type 2,SPV,N,5,38000
FORD ,6.0,180,430,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900
BMW ,6.9,160,230,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526
SKODA ,7.0,160,400,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,45000
PORSCHE ,3.5,250,385,217,770,Yes,AWD,Type 2 CCS,Station,F,4,150000
BYTON ,5.5,190,390,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,64000
SONO ,9.0,140,225,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500
KIA ,9.8,155,235,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,34400
AUDI ,6.3,180,410,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,57500
SMART ,12.7,130,95,176,-,No,RWD,Type 2,Hatchback,A,4,22030
FORD ,6.0,180,340,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,54000
PORSCHE ,3.2,260,390,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,148301
VOLKSWAGEN ,7.3,160,340,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987
TESLA ,2.8,250,440,216,480,Yes,AWD,Type 2,SUV,F,7,102990
SMART ,11.6,130,100,167,-,No,RWD,Type 2,Hatchback,A,2,21387
FORD ,6.6,180,360,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,46900
MERCEDES ,10.0,140,330,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,70631
FIAT ,9.0,150,250,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900
TESLA ,7.0,180,390,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,45000
AUDI ,6.8,190,295,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,69551
SKODA ,6.2,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,47500
SKODA ,9.0,160,320,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,37500
AUDI ,4.5,210,320,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,93800
SMART ,11.9,130,95,176,-,No,RWD,Type 2,Cabrio,A,2,24565
KIA ,7.9,167,365,175,320,Yes,FWD,Type 2 CCS,SUV,B,5,36837
NISSAN ,5.7,200,420,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500
FIAT ,9.0,150,250,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900
VOLKSWAGEN ,7.3,160,340,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575
KIA ,9.9,157,230,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,33133
BYTON ,7.5,190,325,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,53500
NISSAN ,7.5,160,330,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000
AUDI ,4.5,210,335,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,96050
NISSAN ,5.9,200,325,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000
NISSAN ,5.1,200,375,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000
BYTON ,7.5,190,400,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,62000