age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,grade
18,4,4,2,2,0,4,3,4,1,1,3,4,1
17,1,1,1,2,0,5,3,3,1,1,3,2,1
15,1,1,1,2,0,4,3,2,2,3,3,6,1
15,4,2,1,3,0,3,2,2,1,1,5,0,2
16,3,3,1,2,0,4,3,2,1,2,5,0,1
16,4,3,1,2,0,5,4,2,1,2,5,6,1
16,2,2,1,2,0,4,4,4,1,1,3,0,1
17,4,4,2,2,0,4,1,4,1,1,1,2,1
15,3,2,1,2,0,4,2,2,1,1,1,0,2
15,3,4,1,2,0,5,5,1,1,1,5,0,1
15,4,4,1,2,0,3,3,3,1,2,2,2,2
15,2,1,3,3,0,5,2,2,1,1,4,0,1
15,4,4,1,1,0,4,3,3,1,3,5,0,1
15,4,3,2,2,0,5,4,3,1,2,3,0,1
15,2,2,1,3,0,4,5,2,1,1,3,0,2
16,4,4,1,1,0,4,4,4,1,2,2,6,2
16,4,4,1,3,0,3,2,3,1,2,2,10,1
16,3,3,3,2,0,5,3,2,1,1,4,2,2
17,3,2,1,1,3,5,5,5,2,4,5,2,1
16,4,3,1,1,0,3,1,3,1,3,5,6,1
15,4,3,1,2,0,4,4,1,1,1,1,0,1
15,4,4,1,1,0,5,4,2,1,1,5,0,1
16,4,2,1,2,0,4,5,1,1,3,5,0,1
16,2,2,2,2,0,5,4,4,2,4,5,2,1
15,2,4,1,3,0,4,3,2,1,1,5,2,1
16,2,2,1,1,0,1,2,2,1,3,5,6,1
15,2,2,1,1,0,4,2,2,1,2,5,8,1
15,4,2,1,1,0,2,2,4,2,4,1,0,1
16,3,4,1,2,0,5,3,3,1,1,5,2,1
16,4,4,1,2,0,4,4,5,5,5,5,4,1
15,4,4,1,2,0,5,4,2,3,4,5,0,1
15,4,4,2,2,0,4,3,1,1,1,5,2,2
15,4,3,1,2,0,4,5,2,1,1,5,0,2
15,3,3,1,2,0,5,3,2,1,1,2,0,1
16,3,2,1,1,0,5,4,3,1,1,5,4,1
15,2,3,2,1,0,3,5,1,1,1,5,4,1
15,4,3,1,3,0,5,4,3,1,1,4,0,2
16,4,4,2,3,0,2,4,3,1,1,5,4,1
15,3,4,1,3,0,4,3,2,1,1,5,2,1
15,2,2,1,1,0,4,3,1,1,1,2,8,1
16,2,2,2,2,0,3,3,3,1,2,3,16,1
15,4,4,1,1,0,5,4,3,2,4,5,8,1
15,4,4,1,2,0,4,3,3,1,1,5,0,2
15,2,2,1,1,0,5,4,1,1,1,1,0,1
16,2,2,2,2,1,4,3,3,2,2,5,14,1
15,4,3,1,2,0,5,2,2,1,1,5,4,1
16,3,3,1,2,0,2,3,5,1,4,3,6,1
16,4,3,1,4,0,4,2,2,1,1,2,2,2
15,4,2,1,2,0,4,3,3,2,2,5,4,1
15,4,4,1,2,0,4,4,4,1,1,3,2,1
16,2,2,3,2,0,4,3,3,2,3,4,0,1
15,4,2,1,2,0,4,3,3,1,1,5,0,2
15,4,2,2,1,0,5,5,5,3,4,5,4,1
15,4,4,1,1,0,3,3,4,2,3,5,0,1
15,3,3,1,1,0,5,3,4,4,4,1,0,1
16,2,1,1,2,0,5,3,4,1,1,2,2,1
15,4,3,1,2,0,4,3,2,1,1,1,0,2
15,4,4,1,2,0,3,2,2,1,1,5,8,2
15,1,2,1,2,0,4,3,2,1,1,5,0,2
16,4,2,1,2,0,4,2,3,1,1,5,2,2
16,4,4,1,2,0,2,4,4,2,3,4,0,2
16,1,1,4,1,0,5,5,5,5,5,5,0,1
16,1,2,1,2,0,4,4,3,1,1,1,0,1
16,4,3,1,3,0,3,4,4,2,4,4,0,1
15,4,3,1,2,0,4,4,4,2,4,2,0,1
16,4,3,3,2,0,5,4,3,1,2,1,2,2
15,4,4,1,4,0,1,3,3,5,5,3,0,1
16,3,1,1,4,0,4,3,3,1,2,5,0,1
15,2,2,2,2,0,4,1,3,1,3,4,0,1
15,3,1,2,4,0,4,4,2,2,3,3,6,2
16,3,1,2,4,0,4,3,2,1,1,5,2,1
15,4,2,1,4,0,3,3,3,1,1,3,0,1
15,1,1,1,2,0,3,3,4,2,4,5,2,1
16,3,1,1,1,0,5,3,2,2,2,5,0,1
16,3,3,1,2,0,4,3,3,2,4,5,4,1
15,4,3,1,2,0,4,3,3,2,3,5,0,1
15,4,0,2,4,0,3,4,3,1,1,1,0,1
16,2,2,1,4,0,5,2,3,1,3,3,1,1
17,2,1,2,1,3,4,5,1,1,1,3,0,1
16,3,4,1,2,0,2,4,3,1,2,3,14,1
15,2,3,1,1,0,3,2,2,1,3,3,0,1
15,2,3,1,3,0,5,3,2,1,2,5,2,1
15,3,2,1,2,0,4,4,4,1,1,5,4,1
15,2,2,2,2,0,5,3,3,1,3,4,2,1
15,1,1,1,2,0,4,3,2,2,3,4,2,1
15,4,4,2,2,0,4,4,4,2,3,5,4,1
16,2,2,1,2,0,4,3,4,1,2,2,6,1
15,4,2,1,3,0,5,3,3,1,3,1,4,2
16,2,2,2,2,0,4,4,2,1,1,3,6,1
16,4,4,1,2,0,4,1,3,3,5,5,6,1
16,3,3,1,3,0,4,3,3,1,3,4,2,1
15,4,3,1,1,0,4,5,5,1,3,1,6,1
16,3,1,1,2,0,3,3,3,2,3,2,0,1
16,4,2,2,2,0,5,3,3,1,1,1,2,2
15,2,2,1,4,0,4,3,4,1,1,4,2,1
15,1,1,2,4,0,3,1,2,1,1,1,4,1
16,4,3,2,1,0,3,3,3,1,1,4,6,1
16,2,1,1,2,0,4,3,5,1,1,5,0,1
16,4,4,1,1,0,5,3,4,1,2,1,4,1
16,4,3,1,3,0,5,3,5,1,1,3,2,1
16,4,4,1,1,0,4,5,5,5,5,4,12,1
16,4,4,1,3,0,4,4,3,1,1,4,0,2
15,4,4,1,1,0,5,3,3,1,1,5,2,1
15,3,2,2,2,0,4,3,5,1,1,2,16,1
15,3,4,1,2,0,5,4,4,1,1,1,0,2
15,3,3,1,4,0,4,3,3,1,1,4,10,1
15,2,2,1,4,0,5,1,2,1,1,3,4,1
16,3,3,1,3,0,5,3,3,1,1,5,4,2
15,4,4,4,4,0,1,3,5,3,5,1,8,1
16,4,4,1,3,0,5,4,5,1,1,4,2,2
15,4,4,1,1,0,5,5,3,1,1,4,4,2
16,3,3,1,3,0,4,1,2,1,1,2,4,1
16,2,2,1,2,1,3,1,2,1,1,5,12,1
15,4,2,1,1,0,3,5,2,1,1,3,10,2
15,2,1,1,2,0,5,4,2,1,1,5,4,1
16,4,4,1,2,0,5,4,4,1,2,5,6,2
15,4,4,2,2,0,4,4,3,1,1,2,4,2
16,3,3,2,1,0,5,4,2,1,1,5,6,2
17,1,3,3,2,1,5,2,4,1,4,5,14,1
15,3,4,1,1,0,3,4,3,1,2,4,2,2
15,1,2,1,2,0,3,2,3,1,2,1,0,2
15,2,2,1,4,0,5,5,4,1,2,5,6,1
16,2,4,2,2,0,4,2,2,1,2,5,2,1
16,4,4,1,1,0,3,4,4,1,4,5,4,1
16,2,2,1,2,0,5,4,4,1,1,5,0,1
15,3,4,1,1,0,5,5,5,3,2,5,2,1
15,3,4,1,2,0,5,3,2,1,1,1,0,1
19,0,1,1,2,2,3,4,2,1,1,5,0,1
16,4,4,1,1,0,3,5,5,2,5,4,8,2
16,2,3,2,3,0,3,2,3,2,2,1,4,1
15,3,4,2,3,0,4,2,2,2,2,5,0,1
18,2,1,1,2,3,5,4,5,1,3,5,10,1
17,2,1,3,1,0,3,2,2,1,2,5,8,1
15,1,1,3,1,0,4,3,3,1,2,4,6,1
17,2,2,1,1,0,3,4,4,1,3,5,2,1
16,3,4,1,1,0,3,2,1,1,4,5,12,2
16,2,1,4,1,0,3,2,1,1,1,2,4,1
16,2,2,1,1,1,5,3,4,1,1,5,12,1
15,3,4,4,2,0,5,3,3,1,1,5,2,1
15,4,4,1,3,0,4,3,3,1,1,5,4,2
17,3,4,3,2,0,5,4,5,2,4,5,2,1
16,1,1,4,2,0,5,1,3,1,1,3,0,1
18,3,1,2,1,0,3,3,4,4,5,4,2,1
18,3,2,1,3,0,4,3,3,5,1,5,10,1
16,1,1,2,1,0,3,3,3,1,2,1,8,1
16,3,3,2,1,0,4,3,2,1,1,5,4,1
16,1,1,1,2,2,4,4,4,1,3,5,0,1
15,4,4,2,1,0,4,3,2,1,1,5,6,2
15,1,1,3,1,1,5,5,5,1,1,1,2,1
15,4,3,2,4,0,2,2,2,1,1,3,6,1
15,3,3,1,2,0,1,3,2,2,3,1,24,1
16,4,4,1,3,0,5,3,3,1,3,5,0,2
16,2,2,2,1,0,2,3,3,2,2,2,4,1
15,4,4,1,3,0,4,2,2,1,1,5,2,1
16,1,1,1,1,0,3,4,4,3,3,1,4,1
17,2,1,1,1,0,5,4,5,1,2,5,22,1
15,1,1,1,2,0,4,4,2,1,2,5,0,1
15,2,1,2,1,0,4,4,2,1,1,5,0,1
15,3,2,1,2,1,3,3,2,1,1,3,2,1
15,1,2,1,2,0,4,3,2,1,1,5,6,1
15,1,2,1,2,0,2,3,4,2,4,1,6,1
16,4,4,1,1,0,3,3,2,2,1,5,16,1
15,2,1,4,1,0,4,5,5,2,5,5,0,1
18,1,1,1,1,2,2,3,5,2,5,4,0,1
16,2,1,1,1,1,4,4,4,3,5,5,6,1
15,3,3,2,3,0,4,2,1,2,3,3,2,1
19,3,2,1,1,0,4,5,4,1,1,4,6,1
17,4,4,1,1,0,4,2,1,1,1,4,0,1
15,2,3,1,2,0,4,4,4,1,1,1,0,1
17,1,2,1,1,3,2,2,2,3,3,5,14,1
18,1,1,3,1,3,5,2,5,1,5,4,6,1
16,2,2,3,1,0,4,2,2,1,2,3,4,1
16,3,3,1,2,1,4,5,5,4,4,5,0,1
16,1,2,2,1,2,4,4,5,3,5,5,0,1
17,2,1,2,1,1,3,3,2,2,2,5,8,1
17,3,2,2,2,2,4,4,4,1,4,3,4,1
15,1,2,2,1,0,4,4,4,2,4,5,2,1
16,1,3,1,1,1,5,3,3,1,4,2,2,1
17,1,1,4,2,0,5,3,5,1,5,5,0,1
17,3,2,2,1,3,4,5,2,1,1,2,10,1
16,2,2,1,2,0,4,3,5,2,4,4,0,1
16,4,2,1,2,0,4,2,3,1,1,3,0,2
16,2,2,1,2,0,5,1,5,1,1,4,0,1
16,4,4,1,2,0,4,4,2,1,1,3,0,2
16,3,4,3,1,1,3,4,5,2,4,2,4,1
16,1,0,2,2,0,4,3,2,1,1,3,0,2
17,4,4,1,2,0,4,4,4,1,3,5,0,1
16,1,3,1,2,0,4,3,5,1,1,3,0,1
16,3,3,2,2,0,4,4,5,1,1,4,0,2
17,4,3,2,2,0,4,4,4,4,4,4,0,1
16,2,2,2,2,0,3,4,4,1,4,5,0,1
17,3,3,1,2,0,4,3,4,1,4,4,4,1
16,4,2,1,1,0,4,3,3,3,4,3,8,1
17,4,3,1,2,0,5,2,3,1,1,2,4,1
16,4,3,1,2,0,3,4,3,2,3,3,4,1
16,3,3,1,2,0,4,2,3,1,2,3,0,1
17,2,4,1,2,0,5,4,2,2,3,5,0,2
17,3,3,1,2,0,5,3,3,2,3,1,32,2
16,3,2,1,2,0,1,2,2,1,2,1,8,2
17,3,3,1,2,0,4,3,4,2,3,4,6,1
16,1,2,1,1,0,3,3,3,1,2,3,0,1
16,2,1,1,2,0,4,2,3,1,2,5,0,2
17,3,3,1,2,0,3,3,3,1,3,3,10,1
17,1,2,1,2,0,3,1,3,1,5,3,6,1
16,2,3,1,2,0,4,3,3,1,1,2,6,1
17,1,1,1,2,0,5,3,3,1,1,3,0,1
17,1,2,2,2,0,4,4,4,4,5,5,16,1
16,3,3,1,1,0,4,3,2,3,4,5,0,1
16,2,3,2,1,0,5,3,3,1,1,3,0,1
17,2,4,1,2,0,4,3,2,1,1,5,8,2
17,4,4,1,1,0,5,2,3,1,2,5,4,1
16,3,3,3,1,0,3,3,4,3,5,3,16,1
17,4,4,2,1,1,4,2,4,2,3,2,30,2
16,4,4,1,2,0,4,5,2,1,2,3,0,1
16,4,3,1,2,0,4,3,5,1,5,2,2,2
16,2,3,1,2,0,4,4,3,1,3,4,4,1
17,1,1,1,2,0,4,4,4,1,3,1,0,2
17,2,2,1,1,0,5,3,2,1,2,3,21,1
16,2,2,2,4,0,5,3,5,1,1,5,6,1
17,3,4,1,3,1,4,4,3,3,4,5,14,1
16,3,1,1,2,0,2,3,3,2,2,4,2,1
16,4,3,1,2,0,1,3,2,1,1,1,4,2
16,1,1,2,1,0,4,3,2,1,4,5,2,1
17,4,3,2,3,0,4,4,2,1,1,4,0,1
19,3,3,1,4,0,4,3,3,1,2,3,4,1
17,4,4,1,2,0,5,3,5,4,5,3,15,1
16,2,2,1,2,0,3,3,4,1,1,4,0,1
18,2,2,1,2,0,4,4,4,2,4,5,10,1
17,4,4,1,1,0,5,2,1,1,2,3,6,1
17,3,2,2,2,0,4,4,4,1,3,1,2,2
17,4,3,1,2,0,3,4,5,2,4,1,16,1
18,3,3,1,2,0,3,2,4,2,4,4,10,1
17,2,3,2,1,0,3,3,3,1,4,3,4,1
17,2,2,1,3,0,4,3,3,1,1,4,0,1
17,2,1,2,2,0,4,2,5,1,2,5,0,1
17,1,1,1,3,0,4,3,4,1,1,5,12,1
16,2,3,1,2,0,2,3,1,1,1,3,0,1
18,2,2,2,2,3,3,3,3,5,5,4,9,1
16,4,4,1,3,0,5,3,2,1,1,5,4,2
18,3,1,1,2,0,5,3,3,1,1,4,4,1
17,3,2,1,2,0,5,3,4,1,3,3,2,2
17,2,3,1,2,0,5,3,3,1,3,3,0,1
18,2,1,4,2,0,4,3,2,4,5,3,2,1
17,2,1,2,3,0,3,2,3,1,2,3,0,2
17,4,3,1,2,0,3,2,3,1,2,3,0,1
17,2,2,2,2,0,4,5,2,1,1,1,0,1
17,4,4,1,2,0,4,5,5,1,3,2,0,1
16,4,4,1,2,0,4,2,4,2,4,1,0,1
16,1,1,2,2,0,3,4,2,1,1,5,2,1
16,3,2,2,3,0,5,3,3,1,3,2,0,1
17,2,2,1,2,0,4,4,2,5,5,4,0,2
16,2,1,1,1,0,4,5,2,1,1,5,4,1
16,4,1,1,2,0,5,3,3,1,2,5,0,1
18,2,4,2,2,1,4,3,3,1,1,3,18,1
18,2,2,1,2,1,5,3,1,1,1,5,16,1
18,3,3,2,1,1,4,1,1,1,1,3,14,1
18,2,2,1,1,1,4,4,3,2,2,1,26,1
17,4,4,1,1,0,4,2,1,1,2,5,6,1
17,3,2,1,2,0,5,4,2,1,1,3,4,2
17,1,1,1,3,0,4,3,2,1,2,4,10,1
16,1,2,1,1,0,5,3,5,1,2,5,4,1
17,2,1,3,2,0,2,1,1,1,1,3,2,1
17,1,4,4,1,1,5,5,4,1,1,5,14,1
18,2,2,1,2,0,5,5,4,3,5,2,16,1
17,2,2,1,1,1,3,1,2,1,1,1,8,1
17,1,1,2,3,0,4,3,3,1,3,5,4,2
17,4,2,1,2,0,4,3,2,1,1,4,4,2
17,4,3,2,2,0,2,5,5,1,4,5,8,2
17,4,4,2,2,0,3,3,3,2,3,4,0,1
16,4,3,1,1,0,5,4,5,1,1,3,7,2
16,4,4,1,1,0,5,3,2,1,2,5,4,2
17,4,4,1,2,0,5,3,1,1,4,5,2,1
17,1,1,2,3,0,4,3,3,1,1,1,2,2
17,3,3,2,3,0,4,2,2,2,3,5,10,1
17,1,1,1,2,0,4,3,2,1,1,4,10,1
18,2,1,2,3,0,4,4,4,1,1,3,10,1
16,2,1,3,1,0,4,3,3,1,1,4,7,2
17,1,1,1,2,0,4,3,4,1,2,5,4,1
17,2,3,2,1,0,5,2,2,1,1,2,2,1
22,3,1,1,1,3,5,4,5,5,5,1,12,1
18,3,3,1,2,0,4,3,3,1,3,5,8,1
16,0,2,1,1,0,4,3,2,2,4,5,0,1
18,3,2,2,1,0,4,4,5,2,4,5,8,1
16,3,3,3,2,1,5,3,3,1,3,2,4,1
18,2,1,1,1,2,3,2,5,2,5,5,4,1
16,2,1,2,1,0,3,3,2,1,3,3,2,1
17,2,1,1,1,0,4,4,2,2,4,5,0,1
17,1,1,2,1,1,4,4,4,1,2,5,0,1
18,2,1,1,2,0,4,3,4,1,3,5,2,1
17,4,2,1,4,0,4,2,3,1,1,4,2,2
19,2,2,1,2,0,4,3,3,1,1,5,0,1
18,2,1,3,2,1,4,4,5,4,4,5,4,1
17,4,2,1,3,0,4,3,4,1,3,5,2,1
18,1,1,1,3,0,4,4,3,2,3,3,4,1
18,2,2,1,2,0,3,2,3,1,1,5,4,1
19,4,3,1,2,0,4,3,1,1,1,1,4,1
18,2,1,1,2,0,5,2,4,1,2,4,2,2
17,2,2,2,1,0,5,2,2,1,1,4,0,1
17,2,2,1,4,0,3,4,1,1,1,2,2,1
20,2,1,2,2,0,1,2,3,1,2,2,8,1
18,4,3,1,2,0,3,1,2,1,3,2,2,2
18,4,3,1,2,0,4,3,2,1,1,3,2,1
18,3,2,1,3,0,5,3,2,1,1,3,2,1
17,3,3,1,3,0,3,2,3,1,1,4,2,1
18,2,2,1,3,0,4,3,3,1,1,3,0,1
17,2,2,2,1,0,4,4,4,2,3,4,8,1
18,3,4,2,2,0,4,2,5,3,4,1,6,2
17,3,1,1,2,0,5,4,4,3,4,5,0,1
18,4,4,2,2,0,4,3,4,2,2,4,8,1
18,4,2,1,2,0,5,4,5,1,3,5,4,1
18,2,1,2,2,0,4,3,5,1,2,3,12,1
19,3,3,1,2,0,4,3,5,3,3,5,16,1
18,2,3,1,4,0,4,5,5,1,3,2,10,2
18,1,1,2,2,0,4,4,3,1,1,3,2,1
17,1,2,1,2,0,3,5,2,2,2,1,2,2
18,2,1,1,2,0,4,2,5,1,2,1,8,2
17,2,4,2,2,0,4,3,3,1,1,1,6,2
17,2,2,2,2,0,4,4,4,2,3,5,6,1
18,3,2,2,2,0,4,1,1,1,1,5,15,1
18,4,4,2,1,0,3,2,4,1,4,3,6,1
18,4,4,1,2,1,2,4,4,1,1,4,2,1
17,2,2,3,3,0,4,2,3,1,1,1,8,2
