LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2437.5,2465.0,141.775
2406.0,2430.0,143.425
2428.5,2450.0,145.175
2435.5,2461.0,148.4
2456.0,2476.0,151.575
2455.0,2477.0,153.575
2457.0,2480.0,153.575
2412.5,2425.5,153.975
2425.5,2444.0,147.875
2420.0,2429.0,149.025
2375.5,2391.0,149.35
2363.0,2386.0,149.8
2328.5,2352.0,150.175
2336.0,2355.0,146.975
2270.5,2293.0,145.55
2261.0,2282.0,145.975
2312.0,2325.0,142.775
2282.0,2290.0,141.75
2313.0,2315.0,106.9
2357.0,2345.0,92.175
2415.5,2399.0,91.8
2477.0,2453.0,91.575
2500.0,2464.0,88.825
2448.0,2425.0,90.0
2500.0,2494.0,91.65
2482.0,2482.0,94.9
2462.5,2461.5,97.925
2527.0,2535.0,99.225
2554.0,2554.0,99.35
2550.0,2540.0,99.675
2485.0,2482.0,99.15
2485.0,2487.0,96.075
2455.0,2466.0,87.95
2447.0,2456.0,88.625
2366.0,2387.0,89.175
2358.0,2380.0,90.725
2402.0,2420.0,90.75
2350.0,2367.5,90.825
2348.0,2368.0,80.375
2354.0,2382.0,69.725
2413.0,2438.0,70.775
2462.0,2481.5,71.75
2360.0,2375.0,72.15
2361.0,2379.0,72.925
2341.5,2356.0,73.5
2337.5,2348.5,73.975
2365.0,2372.0,74.775
2357.0,2359.5,76.475
2370.0,2380.0,78.075
2361.5,2374.0,80.275
2363.0,2375.0,80.825
2326.0,2334.5,80.925
2348.0,2356.0,77.825
2362.0,2376.0,78.25
2331.5,2346.0,78.6
2362.5,2379.0,78.775
2442.5,2456.5,78.825
2338.0,2359.0,79.825
2375.0,2399.0,80.025
2431.5,2437.0,80.1
2485.0,2487.0,80.975
2461.0,2461.0,82.725
2450.0,2443.5,83.1
2382.0,2382.0,84.875
2356.5,2363.5,85.5
2397.0,2403.0,85.8
2371.0,2371.0,86.525
2382.0,2380.5,86.625
2290.0,2298.0,87.275
2271.0,2278.0,87.45
2302.0,2323.0,87.45
2271.0,2286.5,87.45
2228.0,2250.0,87.5
2323.5,2342.0,74.325
2320.0,2337.0,74.55
2224.0,2236.5,63.45
2306.0,2320.0,45.4
2362.5,2373.0,45.775
2433.0,2442.0,46.275
2491.0,2500.0,46.975
2482.0,2491.0,47.525
2521.5,2532.0,47.25
2473.5,2491.0,48.45
2558.0,2574.0,49.05
2516.0,2538.0,49.05
2575.0,2590.0,49.35
2612.0,2628.5,50.4
2658.0,2675.0,51.225
2630.0,2636.0,52.0
2611.0,2615.0,52.125
2609.0,2613.5,52.525
2620.0,2620.0,52.925
2680.0,2680.0,52.975
2610.0,2611.5,53.325
2614.5,2614.0,53.35
2618.0,2629.0,53.35
2670.0,2680.0,53.5
2739.0,2744.5,53.5
2755.5,2761.0,53.5
2767.0,2766.0,49.075
2855.0,2845.0,44.15
2846.0,2834.5,44.15
2902.0,2882.0,44.2
2830.0,2818.0,44.2
2751.0,2740.5,44.675
2784.0,2763.0,44.7
2810.5,2795.0,44.9
2848.0,2832.0,44.9
2893.0,2873.5,45.05
2937.0,2908.0,45.05
2906.5,2887.0,45.075
2980.0,2957.0,39.125
3035.0,2991.0,39.325
2937.0,2907.0,39.55
2914.0,2881.0,39.65
2900.0,2885.0,39.65
2894.0,2867.0,39.7
2888.0,2865.0,39.75
2897.0,2869.0,39.85
2925.0,2901.0,37.375
2933.0,2905.0,37.725
2864.0,2852.0,37.775
2864.5,2847.0,37.775
2954.0,2938.0,37.9
2905.0,2884.0,38.15
2941.0,2923.5,38.45
2967.5,2954.0,38.75
2990.0,2972.0,39.075
3012.0,2992.5,39.125
3030.0,3007.0,34.85
3090.0,3068.0,35.15
3075.0,3059.0,35.75
3091.5,3065.5,33.225
3042.5,2997.0,33.35
3034.5,3006.0,33.35
3021.0,2989.5,33.4
3087.0,3060.0,30.65
3106.5,3076.0,31.025
3170.0,3135.0,31.45
3110.0,3075.5,29.475
3037.0,3001.0,29.85
3035.0,3007.0,29.85
3067.0,3047.0,25.075
3134.0,3116.0,25.325
3042.0,3022.0,25.925
3119.0,3096.0,26.25
3180.0,3152.0,21.375
3202.0,3158.5,19.425
3137.0,3095.0,15.6
3200.0,3170.0,16.225
3361.0,3326.5,16.375
3350.0,3325.0,16.475
3439.5,3404.5,16.475
3409.0,3382.0,17.25
3450.0,3421.0,17.425
3509.0,3486.0,17.675
3488.0,3472.0,18.625
3440.0,3422.0,18.625
3420.5,3402.0,18.625
3436.5,3424.0,18.625
3445.0,3427.0,18.65
3372.0,3360.0,19.15
3415.0,3397.0,19.525
3286.0,3275.5,20.0
3352.0,3317.0,20.5
3301.5,3281.5,20.975
3215.0,3200.0,21.125
3175.5,3164.0,21.675
3193.0,3182.0,22.15
3154.0,3134.0,22.85
2994.0,2982.0,24.3
3040.0,3014.0,25.8
2977.0,2950.0,27.75
3004.0,2970.0,30.475
3025.0,2990.0,32.025
3019.0,3000.0,33.825
3056.0,3035.0,36.325
2985.0,2964.0,36.35
3008.0,2984.0,36.4
3065.5,3037.0,36.45
3075.0,3030.0,36.525
3060.0,3027.0,36.575
3127.0,3097.5,36.575
3235.0,3215.0,36.575
3277.0,3255.0,36.625
3289.0,3265.0,36.65
3284.0,3242.0,36.7
3247.0,3219.0,37.2
3242.0,3216.5,38.4
3140.0,3113.0,38.575
3187.0,3161.0,38.975
3120.5,3115.5,39.75
3066.5,3064.0,40.35
3056.5,3050.5,41.225
2974.0,2962.0,41.3
2956.0,2948.0,41.425
2912.0,2910.0,41.45
2925.0,2932.0,41.45
2912.0,2912.0,41.45
2892.0,2902.0,41.975
2904.5,2921.0,42.075
2932.0,2941.0,42.425
3007.5,3016.0,42.7
3000.0,3004.0,42.75
3087.0,3076.0,42.8
3145.0,3128.0,43.125
3076.0,3060.0,42.9
3006.5,2990.0,42.975
2832.0,2813.0,43.05
2890.0,2877.0,43.625
2901.5,2890.0,43.675
2885.0,2862.0,43.85
2849.0,2836.0,44.05
2682.0,2666.0,44.175
2765.0,2746.5,44.225
2787.0,2751.0,44.825
2755.0,2714.0,45.525
2914.0,2877.0,47.4
2985.0,2953.0,48.175
2977.0,2937.0,48.925
2920.0,2882.0,49.825
3011.0,2964.0,50.575
2990.5,2952.0,50.6
2944.0,2917.0,50.925
2890.0,2868.0,51.2
2868.0,2850.0,51.225
2905.0,2876.5,51.35
2960.5,2925.0,51.5
2955.5,2922.0,51.925
2972.0,2945.0,53.1
2966.0,2947.0,53.275
3011.0,2995.0,53.3
3061.5,3048.0,53.475
3096.0,3071.0,53.325
3028.0,3000.0,53.35
2989.0,2967.5,53.425
2956.0,2915.0,53.625
2986.0,2955.5,53.625
3015.0,2972.0,53.9
2830.0,2812.0,53.775
2938.0,2922.0,54.45
2944.0,2931.0,59.5
3035.0,3017.0,61.475
3131.5,3121.0,63.85
3132.0,3127.0,67.5
3201.5,3180.0,69.85
3145.0,3114.0,75.675
3124.0,3087.0,75.7
3225.0,3205.0,76.1
3215.0,3190.0,76.375
3319.5,3299.0,76.425
3248.0,3228.0,76.85
3222.5,3195.5,77.025
3192.0,3161.0,77.275
3171.0,3130.0,77.35
3217.0,3166.0,77.4
3265.0,3214.0,77.475
3144.5,3106.0,77.5
3300.0,3234.0,77.15
3540.0,3455.0,77.05
3592.0,3500.0,76.975
3678.0,3598.0,77.05
3622.0,3544.0,77.125
3561.0,3490.0,77.175
3520.0,3455.5,76.425
3550.0,3489.0,74.725
3532.0,3485.0,74.725
3574.0,3507.0,74.95
3635.5,3556.0,75.0
3877.0,3798.0,75.175
3621.0,3532.0,74.2
3672.0,3580.0,74.5
3727.0,3613.0,74.6
3632.0,3522.0,74.1
3577.0,3467.0,73.275
3507.0,3421.0,73.55
3550.0,3440.5,73.925
3431.0,3326.0,70.0
3355.0,3269.0,66.925
3445.0,3339.5,68.05
3405.5,3292.5,69.725
3351.0,3262.0,70.5
3246.0,3142.0,70.8
3116.0,3030.0,71.825
3140.0,3048.0,72.25
3050.0,2979.0,72.525
3045.0,2978.0,72.475
3005.0,2937.0,72.825
3090.0,3013.0,73.425
3045.0,2958.0,73.25
3032.0,2989.0,74.675
2921.0,2858.0,77.85
2972.0,2895.0,79.475
3060.5,2988.0,82.2
3137.0,3023.0,82.675
3122.0,3055.0,82.775
3151.0,3070.0,82.875
3162.0,3105.0,83.025
3060.0,2995.0,83.15
3041.0,3007.5,83.15
3170.0,3110.0,83.325
3125.0,3057.0,82.8
3251.5,3232.0,81.075
3410.0,3370.0,81.075
3449.5,3378.0,81.525
3450.0,3360.0,81.725
3540.0,3384.5,79.175
3677.0,3477.0,79.9
3699.5,3551.0,78.6
3721.0,3625.0,78.55
3572.0,3509.0,79.425
3580.0,3532.0,80.275
3636.0,3578.0,79.575
3701.0,3654.0,80.125
3661.0,3613.0,81.95
3607.0,3589.0,82.5
3755.0,3738.0,83.8
3792.0,3771.0,84.8
3822.0,3807.0,86.15
3745.5,3747.0,86.875
3913.0,3895.0,88.075
3896.0,3877.0,83.575
3978.0,3952.0,84.675
3976.0,3950.0,84.7
3815.0,3786.0,85.85
3744.0,3736.5,86.6
3750.0,3733.0,85.05
3769.0,3756.0,85.65
3777.0,3760.0,86.0
3755.0,3740.0,86.625
3647.5,3636.0,86.8
3646.5,3635.0,87.1
3687.0,3683.0,86.125
3583.5,3578.0,86.225
3500.0,3492.0,86.55
3541.0,3525.0,86.375
3660.0,3646.0,88.475
3642.0,3630.0,89.3
3655.0,3647.0,92.575
3829.0,3807.0,94.375
3993.0,3962.0,93.175
3955.0,3928.0,94.075
4045.0,3993.0,95.35
4212.0,4164.0,95.35
4230.5,4178.0,96.275
4319.5,4251.0,98.9
4315.0,4242.0,101.25
4279.5,4220.0,101.725
4515.0,4455.0,103.25
4485.0,4420.0,106.125
4510.0,4446.0,108.85
4530.0,4457.0,113.75
4472.0,4432.0,115.6
4515.0,4460.0,117.85
4345.0,4298.0,120.825
4372.0,4305.0,123.675
4280.0,4250.0,125.675
4250.0,4222.0,127.675
4306.0,4274.0,130.425
4310.0,4270.0,134.125
4471.0,4410.0,137.675
4332.0,4264.0,139.95
4260.0,4152.0,141.925
4134.5,4117.0,142.1
4101.0,4086.0,142.25
4064.0,4055.0,142.475
4073.0,4055.5,142.625
4140.0,4097.0,142.95
4018.0,4000.0,143.175
3945.0,3928.0,143.325
3896.0,3902.0,142.975
3850.0,3844.0,143.325
3805.0,3804.0,144.025
3821.0,3827.0,144.2
3771.0,3782.0,144.425
3782.0,3801.0,140.525
3835.0,3841.0,140.725
3961.0,3975.0,140.95
3940.0,3961.0,141.05
4091.0,4100.0,141.25
4248.0,4207.0,141.525
4024.5,4000.0,142.55
3985.0,3973.0,142.725
3927.0,3894.0,143.175
3737.0,3722.0,143.9
3705.0,3672.0,144.1
3640.0,3619.0,144.4
3670.0,3649.0,145.775
3615.5,3604.0,146.2
3628.0,3603.0,146.65
3600.0,3574.0,147.35
3668.5,3630.0,147.775
3621.0,3602.0,148.475
3634.0,3615.0,149.35
3613.0,3607.0,150.725
3631.0,3630.0,151.525
3673.0,3674.0,151.9
3738.0,3730.0,152.2
3633.5,3628.0,152.7
3653.0,3642.0,153.875
3623.0,3616.0,154.325
3635.0,3625.0,154.95
3618.0,3612.0,154.2
3650.0,3633.0,154.65
3635.0,3606.0,154.85
3675.0,3645.0,155.075
3644.0,3617.0,155.4
3649.0,3620.0,156.525
3645.0,3616.0,157.55
3615.0,3591.0,159.925
3642.0,3597.0,162.5
3686.0,3642.0,167.65
3674.0,3645.0,172.375
3602.0,3565.5,175.525
3544.0,3534.0,179.95
3535.0,3525.0,181.45
3560.0,3546.0,183.675
3575.0,3559.0,184.95
3582.0,3568.0,187.925
3540.0,3517.0,190.325
3576.5,3545.0,192.625
3602.5,3565.5,193.875
3590.0,3554.0,196.15
3660.0,3604.0,197.925
3602.0,3541.0,199.325
3630.0,3539.0,199.575
3601.0,3530.0,199.75
3550.0,3491.0,202.975
3581.0,3535.0,203.225
3569.0,3512.0,203.4
3545.0,3510.0,203.9
3445.0,3421.0,204.225
3400.5,3356.0,204.65
3430.0,3395.0,205.525
3395.0,3357.0,206.825
3270.0,3256.0,207.575
3342.0,3330.0,209.175
3364.0,3356.0,190.9
3332.0,3299.0,164.425
3351.0,3321.5,150.4
3334.0,3263.0,150.675
3287.5,3222.0,152.1
3224.5,3142.0,152.65
3324.0,3190.5,153.35
3294.0,3215.0,155.125
3296.0,3227.0,157.15
3348.5,3256.0,158.975
3325.0,3200.0,161.45
3331.0,3217.0,163.275
3432.0,3335.0,165.225
3429.5,3340.0,167.875
3422.0,3345.0,171.425
3277.0,3227.0,175.025
3215.0,3180.0,177.4
3202.0,3161.0,179.375
3250.0,3215.0,181.175
3213.0,3197.5,182.45
3266.0,3256.0,182.75
3270.0,3250.0,183.275
3315.0,3294.0,184.275
3305.0,3284.0,187.45
3338.0,3293.0,190.125
3274.5,3228.5,191.7
3229.5,3179.0,192.75
3342.0,3301.0,193.55
3371.0,3327.0,194.7
3394.5,3336.0,196.0
3430.0,3351.0,196.8
3455.5,3340.0,197.4
3415.0,3360.0,197.725
3385.5,3327.0,196.625
3456.0,3413.0,198.025
3510.5,3443.0,199.625
3495.0,3444.5,198.275
3585.0,3544.0,199.925
3584.0,3565.5,200.95
3707.0,3685.5,201.7
3815.0,3753.0,186.9
3795.0,3757.0,188.65
3552.0,3501.0,189.6
3410.0,3369.5,191.075
3248.0,3246.0,191.5
3198.0,3195.0,193.85
3098.0,3112.0,197.35
3025.0,3035.0,198.55
3015.0,3026.0,199.475
3011.5,3024.0,201.625
3013.0,3024.0,203.45
2999.0,3008.0,205.75
3015.0,3026.0,208.875
3047.5,3059.0,212.575
3071.0,3081.0,214.325
3093.0,3100.0,215.25
3110.0,3107.0,217.175
3044.0,3057.0,218.9
3019.0,3037.0,221.0
3003.0,3020.0,222.475
3018.0,3029.5,223.95
3110.0,3122.0,225.575
3064.0,3075.0,227.55
3052.0,3067.0,228.8
3015.0,3024.0,229.7
3072.5,3086.0,231.15
3089.0,3102.0,226.9
3072.0,3084.0,229.25
3052.0,3064.0,231.4
3020.0,3031.0,233.1
3008.0,3019.0,235.775
2984.5,2996.5,236.225
2987.5,2996.0,236.425
2977.5,2993.5,236.425
2997.5,3007.0,237.075
2983.5,2995.5,238.275
2990.0,2996.0,239.65
3032.0,3043.5,239.525
2965.0,2981.0,239.3
2942.0,2947.5,239.1
2948.5,2950.5,232.6
2939.5,2932.5,228.35
2998.0,2994.5,231.225
3002.5,3013.0,232.1
3012.0,3018.0,235.8
3007.0,3015.0,239.7
3016.5,3025.5,242.725
3018.5,3027.5,246.525
2978.5,2986.5,248.25
2957.0,2964.5,248.5
3006.0,3010.5,249.025
2984.5,2990.0,244.325
2975.0,2983.0,244.5
2970.5,2977.0,244.95
3043.0,3047.5,245.025
3039.0,3033.5,245.125
2984.5,2994.0,246.775
2951.5,2965.5,246.95
2948.0,2962.0,247.0
2946.0,2963.5,247.2
2944.0,2961.0,247.3
2920.5,2940.0,247.475
2922.5,2942.5,247.625
2935.5,2954.5,247.875
2937.0,2954.0,248.55
2966.0,2980.0,248.725
2932.5,2948.5,248.925
2927.5,2944.0,249.125
2919.5,2934.0,249.575
2919.5,2936.0,251.075
2955.0,2973.0,251.2
2912.0,2927.0,251.3
2944.0,2962.0,251.575
2949.5,2967.0,252.125
2938.0,2955.0,252.3
2917.0,2932.0,253.075
2936.5,2949.5,253.6
2945.5,2948.5,254.025
2924.0,2929.5,254.675
2883.0,2898.5,255.675
2876.5,2896.5,257.45
2896.0,2908.5,258.0
2869.0,2883.5,258.6
2841.0,2853.0,259.975
2832.0,2844.0,260.55
2873.0,2886.5,261.325
2962.0,2977.5,263.45
2972.5,2983.0,265.375
2986.5,3002.0,267.425
3043.0,3058.0,267.65
3011.0,3027.5,267.75
2965.5,2986.5,268.65
2996.5,3017.0,269.65
2999.0,3017.0,270.35
2963.5,2985.5,272.1
2980.0,2998.5,272.1
2977.5,2996.5,277.125
3061.5,3082.5,276.025
3043.0,3060.5,281.55
3039.5,3053.5,284.25
2994.5,3013.0,286.425
2983.5,2998.5,286.825
2945.0,2958.0,287.725
2931.0,2941.5,288.425
2981.0,2997.0,285.175
2945.5,2961.5,284.55
2969.0,2987.5,285.65
3063.5,3085.0,286.375
2954.0,2974.0,286.95
2924.0,2940.5,287.15
2891.0,2904.0,287.55
2984.5,2998.5,288.125
3004.0,3019.5,288.7
3037.5,3052.5,290.5
2973.0,2984.5,290.8
2920.0,2933.0,291.025
2935.5,2952.0,291.425
2959.5,2970.5,291.75
2904.0,2918.0,291.925
2928.0,2945.0,291.95
2909.0,2926.0,291.95
2889.0,2905.5,291.95
2862.5,2877.5,293.275
2802.5,2818.0,293.55
2805.0,2822.0,293.55
2793.5,2813.5,293.575
2825.0,2848.0,293.625
2842.0,2864.5,294.025
2853.5,2876.0,294.8
2809.5,2833.0,296.525
2789.5,2811.5,296.975
2754.5,2776.0,298.025
2759.0,2782.5,281.925
2807.0,2828.0,267.65
2827.5,2849.0,267.65
2807.0,2827.5,267.65
2813.5,2833.0,268.65
2765.5,2781.5,270.5
2795.0,2807.5,270.85
2822.0,2833.0,271.025
2811.0,2823.5,271.05
2808.0,2819.0,271.1
2759.0,2772.0,271.225
2813.5,2826.0,271.35
2841.0,2855.0,263.375
2860.5,2873.0,264.375
2787.5,2798.0,265.125
2801.5,2814.5,265.825
2807.0,2824.5,266.0
2802.5,2822.5,266.4
2815.0,2833.5,266.775
2797.5,2824.0,267.175
2784.0,2810.0,267.675
2750.0,2773.0,267.9
2735.0,2757.5,268.275
2742.5,2765.0,268.475
2746.5,2767.0,268.775
2734.5,2751.5,269.1
2786.0,2807.5,269.2
2820.0,2835.0,269.475
2788.5,2804.0,269.725
2821.0,2836.5,269.775
2894.5,2906.0,270.475
2822.5,2835.0,270.525
2859.5,2877.0,271.95
2889.5,2905.5,273.175
2864.0,2883.5,276.525
2837.0,2859.5,279.85
2810.0,2830.5,281.35
2819.0,2837.5,282.1
2813.5,2827.5,283.125
2793.5,2807.0,284.25
2726.0,2746.5,287.05
2702.0,2722.0,288.85
2662.5,2683.0,289.325
2640.5,2661.5,289.725
2636.5,2655.5,290.35
2600.0,2621.0,290.8
2585.0,2607.5,290.9
2539.0,2562.5,291.35
2548.5,2573.5,291.75
2565.0,2586.5,292.85
2546.0,2570.0,293.8
2585.0,2608.5,294.5
2651.0,2673.0,235.025
2690.5,2714.5,189.775
2651.0,2672.5,191.45
2707.5,2731.5,191.875
2684.5,2710.0,194.2
2652.0,2675.5,196.625
2664.5,2686.0,198.125
2698.5,2720.0,198.7
2716.0,2737.0,199.175
2751.5,2774.5,199.675
2771.0,2792.0,200.1
2764.5,2788.0,201.125
2824.5,2849.0,201.375
2838.0,2863.5,201.875
2833.0,2858.5,201.9
2785.0,2811.0,202.025
2775.0,2797.5,202.075
2723.5,2745.0,202.225
2749.0,2772.5,202.425
2749.5,2772.0,205.75
2817.0,2845.0,205.9
2775.0,2803.5,206.225
2789.0,2822.0,206.875
2808.0,2835.0,208.325
2835.0,2861.5,209.95
2841.5,2870.0,211.15
2818.0,2848.5,211.475
2817.0,2848.5,213.425
2795.0,2827.0,213.575
2805.5,2838.0,214.875
2810.0,2839.5,215.975
2816.0,2845.0,217.15
2762.5,2791.0,218.35
2729.0,2757.0,218.825
2748.5,2770.0,219.325
2747.0,2768.0,219.95
2725.0,2745.5,220.275
2768.5,2787.5,220.5
2809.5,2826.5,220.625
2760.0,2776.5,221.325
2754.5,2771.0,221.875
2727.5,2744.5,222.3
2745.0,2756.0,222.575
2756.0,2768.0,222.975
2787.0,2789.0,222.675
2721.0,2726.5,220.275
2732.5,2740.5,220.3
2663.5,2674.5,220.475
2653.0,2669.5,220.85
2612.5,2626.0,221.05
2593.0,2608.5,221.075
2630.5,2647.5,221.625
2617.5,2634.5,221.825
2664.5,2677.0,219.3
2614.5,2624.0,217.8
2593.5,2604.5,217.8
2547.5,2557.0,218.225
2554.5,2569.5,218.65
2526.0,2536.5,219.2
2524.5,2536.5,219.925
2503.0,2516.0,219.925
2522.5,2534.0,220.475
2538.5,2552.5,220.8
2512.5,2526.5,220.975
2565.5,2580.0,219.375
2540.0,2557.0,219.575
2547.0,2569.0,219.775
2485.0,2504.5,220.325
2472.0,2490.5,220.275
2417.0,2434.5,219.775
2397.0,2413.5,218.825
2398.0,2416.5,218.0
2428.0,2446.5,217.225
2438.5,2456.0,217.4
2415.5,2433.5,217.625
2356.0,2373.0,217.975
2357.5,2377.0,218.4
2331.0,2351.5,218.775
2298.0,2316.0,216.725
2302.0,2317.5,214.55
2365.0,2383.0,212.575
2413.0,2426.5,214.125
2418.0,2429.5,216.25
2394.0,2407.5,218.175
2365.0,2379.5,220.35
2379.5,2391.5,221.3
2422.0,2440.5,219.3
2472.0,2490.0,219.3
2482.5,2501.5,219.325
2512.0,2530.0,219.525
2466.5,2484.0,219.525
2505.0,2526.0,219.625
2503.5,2524.5,219.7
2454.5,2476.5,219.7
2428.5,2451.0,219.7
2383.0,2409.5,219.725
2386.5,2412.0,219.775
2425.5,2453.5,219.775
2456.0,2485.0,219.875
2463.5,2498.0,220.05
2487.5,2514.5,220.1
2539.0,2564.5,220.15
2554.0,2577.5,220.125
2529.5,2554.5,219.95
2455.0,2482.0,222.45
2454.0,2480.5,224.1
2462.0,2490.0,224.3
2430.0,2456.0,225.075
2450.0,2474.5,226.3
2466.5,2488.5,225.725
2468.5,2486.0,226.4
2448.5,2469.5,224.75
2403.0,2423.5,220.125
2360.0,2379.5,213.95
2362.5,2382.5,213.825
2377.0,2394.5,212.75
2371.0,2388.5,197.675
2368.5,2380.0,197.75
2393.0,2410.0,197.175
2377.5,2390.0,187.425
2370.0,2381.5,187.575
2304.0,2315.5,187.65
2286.0,2297.5,187.975
2299.0,2311.0,188.05
2275.0,2284.0,188.175
2286.0,2293.5,187.475
2206.0,2215.0,173.0
2210.5,2220.0,158.825
2193.5,2202.0,154.5
2207.0,2214.0,150.05
2202.0,2213.5,133.45
2207.5,2218.0,121.05
2171.0,2183.0,121.7
2188.0,2200.5,122.4
2188.0,2198.0,122.525
2198.5,2209.5,122.975
2187.5,2198.5,123.2
2215.5,2223.5,123.475
2145.5,2156.5,123.375
2132.5,2145.0,121.775
2094.5,2107.0,121.95
2023.5,2035.5,122.15
2037.5,2048.0,122.275
2020.0,2030.0,122.525
2035.5,2049.0,122.525
2007.5,2021.5,122.55
2056.5,2067.0,122.575
2022.5,2030.5,122.85
2057.0,2067.5,123.025
2029.0,2036.5,123.275
2014.5,2022.5,123.4
2052.0,2057.5,123.45
2070.0,2067.0,123.6
2073.0,2076.5,124.05
2037.0,2043.0,124.3
2014.0,2025.5,124.5
2007.0,2018.5,124.775
1955.5,1968.0,124.9
1991.0,2003.0,125.425
2003.5,2014.5,119.9
2001.0,2012.0,113.025
2002.0,2012.0,101.575
2009.5,2015.0,93.125
2038.5,2042.0,94.675
1998.5,2000.5,96.275
2008.5,2010.5,97.8
2025.5,2029.5,97.85
1987.5,1987.5,99.575
1971.5,1967.0,101.35
1918.5,1916.0,103.25
1938.0,1937.5,106.15
1975.0,1976.0,106.275
1963.0,1957.0,106.575
1996.5,1993.5,106.825
2021.0,2016.0,107.275
2017.0,2016.5,98.375
1997.0,1995.5,98.625
1949.0,1945.5,98.975
1939.0,1940.5,99.025
1978.0,1980.5,99.1
2018.0,2019.0,99.475
1999.0,2002.0,100.125
2000.0,2002.5,100.175
1945.5,1949.5,100.425
1897.5,1909.5,100.675
1882.0,1894.5,100.85
1899.0,1909.5,100.85
1929.5,1936.0,97.425
1930.0,1939.0,97.525
1915.0,1925.0,96.85
1891.5,1906.5,97.775
1864.0,1874.0,99.475
1855.0,1868.0,100.075
1898.0,1913.0,97.6
1876.0,1887.0,97.85
1940.5,1951.5,98.05
1933.5,1946.5,98.3
1923.5,1936.0,99.15
1908.5,1922.0,99.75
1906.0,1920.5,97.3
1884.0,1898.5,97.975
1890.0,1904.0,89.475
1932.0,1940.0,75.4
1854.5,1868.5,75.85
1862.0,1876.0,76.25
1845.0,1858.5,73.1
1843.0,1853.0,73.8
1867.5,1879.5,73.125
1837.0,1847.5,72.95
1848.5,1862.0,73.35
1831.5,1848.0,74.075
1773.5,1793.0,74.725
1822.0,1836.0,74.5
1814.0,1822.5,74.9
1880.0,1891.0,73.2
1841.0,1845.0,73.7
1820.0,1843.0,73.275
1900.0,1913.0,74.0
1932.0,1950.0,74.125
1986.5,2003.0,74.6
1927.0,1942.0,74.9
1978.5,1994.0,75.225
2000.0,2020.0,74.55
1925.5,1950.5,74.3
1978.0,1997.5,74.4
2002.0,2018.5,74.6
1964.0,1984.0,74.725
1986.0,2002.0,75.025
2009.0,2023.0,75.2
2018.5,2022.0,75.275
1999.0,2020.0,75.425
2014.0,2036.0,75.975
2038.0,2062.0,75.2
2039.0,2060.5,75.375
2086.5,2105.0,75.425
2100.0,2115.0,75.475
2126.5,2144.0,74.6
2128.0,2143.0,74.7
2153.5,2169.0,74.725
2138.0,2154.0,74.825
2157.0,2167.0,72.5
2140.0,2148.0,72.6
2145.0,2150.0,72.025
2128.0,2133.0,71.15
2152.5,2154.0,62.675
2206.0,2204.0,52.95
2222.5,2215.0,49.625
2217.5,2212.0,49.625
2200.0,2187.5,49.775
2219.0,2200.0,49.775
2235.5,2220.0,49.9
2256.0,2243.5,50.175
2270.0,2254.0,50.275
2293.0,2279.0,50.35
2354.5,2339.0,50.425
2386.0,2373.0,50.55
2466.5,2450.0,50.7
2455.0,2432.5,50.9
2461.0,2440.0,51.125
2434.0,2416.0,51.45
2438.0,2417.0,51.575
2390.0,2373.0,51.65
2364.0,2354.5,51.8
2366.5,2354.0,50.975
2382.0,2370.5,51.2
2419.0,2406.5,51.375
2406.0,2386.0,50.175
2346.0,2337.0,50.5
2335.0,2320.0,50.775
2284.0,2271.0,51.125
2299.0,2290.5,51.2
